Titles,Genres,Start_Pub_Date,Image
Log Horizon,"Fantasy, Shounen",2012,log-horizon-thumb.jpg
Log Horizon - Nishikaze no Ryodan,"Action, Comedy, Fantasy, Shounen",,log-horizon-nishikaze-no-ryodan-thumb.jpg
A Tackle on My Life,"Action, Comedy, Romance, School Life, Shoujo",2008,a-tackle-on-my-life-thumb.jpg
Air,"Drama, Fantasy",2004,air-thumb.jpg
Attack On Titan - Before The Fall,"Action, Drama, Fantasy, Horror, Mature, Mystery, Shounen, Supernatural, Tragedy",,attack-on-titan-before-the-fall-thumb.jpg
Bastard,"Action, Adventure, Comedy, Ecchi, Fantasy",1988,bastard-thumb.jpg
Cesare,"Drama, Historical, Seinen",2005,cesare-thumb.jpg
Demon 72,"Action, Adventure, Fantasy, Seinen, Supernatural",2010,demon-72-thumb.jpg
Sensei!,"Comedy, Drama, Romance, School Life, Shoujo",1996,sensei-thumb.jpg
Final Fantasy XII,"Action, Adventure, Fantasy, Shounen, Supernatural",2007,final-fantasy-xii-thumb.jpg
